1;225216;163329;226944;162749
2;187047;134671;186177;131527
3;177604;128320;176731;126409
4;198910;150018;198903;149583
5;200347;145483;205243;146452
6;175132;127971;174746;127093
7;232899;176188;235610;179055
8;240010;180295;244240;183250
9;179987;131917;180022;131939
10;237144;181568;241257;182982
11;180424;124624;181923;124711
12;226424;148469;220166;148614
13;217571;138101;208976;137171
14;224968;149341;223885;152820
15;253514;154213;244880;157402
16;247700;153434;234110;148874
17;230121;138618;218688;136837
18;249150;164566;256862;168465
19;178340;133657;182776;135857
20;185790;141650;189772;143084
21;207016;163012;211824;163950
22;217147;150049;218797;147153
23;219191;143119;221887;142704
24;189804;132885;190987;134256
25;231076;164653;232784;166959
26;190546;132735;190034;134162
27;215591;158347;220409;163543
28;226440;161584;227719;162698
29;189058;135824;187640;137151
30;192956;142114;194958;145131
31;226979;169078;228051;170444
32;212449;148935;216300;153769
33;193411;141838;193097;142350
34;192320;144883;193643;144923
35;168573;121941;167867;122823
36;191159;148918;194856;152819
37;177098;131466;179069;133574
38;197143;144630;197532;144853
39;192473;143711;194231;142840
40;198376;143398;195948;141773
41;180088;131369;181122;129867
42;190623;140587;193157;141215
43;232214;175757;232941;176671
44;217316;157137;215285;157058
45;216957;161017;217256;161941
46;197394;143185;191980;137839
47;239450;183314;240409;182963
48;222804;167520;219571;164796
49;213208;157578;208990;152599
50;189975;139948;193799;143752
51;187831;135261;187425;133269
52;214330;156221;208311;149429
53;224468;166515;222102;165814
54;256131;188189;256547;184512
55;231847;154838;227276;148510
56;171705;108017;162624;103904
57;168604;105423;160234;100634
58;249983;171514;250706;177378
59;255845;174098;251583;175093
60;199083;128273;191014;124176
61;239221;174226;244812;182227
62;246651;170204;240784;169480
63;208525;139228;199341;135293
64;196389;128179;187157;125920
65;192709;126140;177689;118680
66;182677;112980;172378;107895
67;239481;146265;228139;141814
68;237308;144565;224917;132539
69;249356;150236;244267;154404
70;197289;122932;185954;120805
71;253026;145615;236732;140667
72;223268;139785;219667;143332
73;214081;127503;201043;123809
74;232086;136840;217783;132983
75;197252;133355;204085;141574
76;232250;166099;235344;175061
77;183112;132532;182934;133484
78;184436;126799;187363;130485
79;217335;172795;220007;175539
80;195857;150356;197797;153420
81;232759;172928;235259;177205
82;197444;132613;205635;140825
83;222647;160861;226240;168048
84;200391;142838;201629;148406
85;203416;128897;203968;132817
86;204766;132766;205457;138551
87;176885;130211;179933;134447
88;228546;160816;228375;164576
89;187605;131761;188266;134521
90;199907;144058;199550;145541
91;245417;180037;247721;182970
92;245382;176069;245268;178218
93;186798;127011;191277;132837
94;224430;172562;233118;184162
95;197023;134252;201922;141714
96;219218;167574;226487;175014
97;231404;167034;234377;172653
98;211859;161746;213791;164635
99;211963;150609;209414;150899
100;215582;166669;216414;169131
101;213303;146460;214098;150030
102;216614;145089;213132;145925
103;229927;162192;226117;160929
104;204450;150715;205564;154473
105;168402;122690;165493;123036
106;218215;159600;218889;165028
107;195910;134823;196250;139390
108;213950;149942;214614;154444
109;194294;124190;192676;127559
110;204291;149731;202204;150999
111;227805;164366;227631;167490
112;226029;158453;225823;161873
113;207451;151261;207485;153981
114;182878;129601;182593;131185
115;174332;119956;171223;121815
116;171011;103924;166103;105682
117;212283;148108;208991;147679
118;194638;140658;191475;140961
119;171457;107997;167962;108599
120;197729;149281;195692;151040
121;174767;124037;172167;122346
122;194999;140361;191504;137426
123;187486;121673;181476;118452
124;200304;143677;201091;147449
125;208655;148523;206061;148181
126;196659;147728;198648;151387
127;189353;146369;190611;149678
128;192966;143782;193909;146050
129;210934;163921;227762;180093
130;211287;156217;210355;158085
131;232944;168245;233596;168983
132;247085;180441;247179;179625
133;233781;165115;230975;163815
134;209155;147381;206505;145637
135;174517;127817;172330;125708
136;216917;158321;213488;155994
137;243442;172558;247138;176149
138;217768;150712;212903;147183
139;183435;135860;181174;134749
140;214358;153800;210904;154030
141;188777;128511;184009;126927
142;214213;149331;213946;149031
143;208840;141167;206701;137503
144;202933;148909;200068;148119
145;239907;167422;238091;167338
146;232781;165293;232311;167911
147;209440;152242;205948;151727
148;218411;156878;215751;156569
149;214196;151127;210836;150469
150;210993;146986;206189;145197
151;178447;109628;168695;112071
152;202455;129834;210456;138427
153;212804;144581;219865;153935
154;231084;148389;220400;151537
155;216629;140109;207261;145679
156;237786;154966;223726;155255
157;238958;149737;223614;152944
158;215674;141214;207752;147427
159;230676;157220;233382;173167
160;231247;154609;235691;173489
161;223149;143690;210677;145578
162;205652;136100;201249;135876
163;202743;133277;191550;134560
164;247624;159655;232499;161718
165;229535;145614;217679;148305
166;213732;137330;201934;138790
167;192360;140808;189728;138632
168;222636;161033;224555;160695
169;184337;135727;180203;131446
170;194732;144490;191354;141665
171;185071;135293;184686;130945
172;212611;147952;210867;146943
173;214882;156108;215246;156652
174;210695;156363;209960;154025
175;181422;132713;180491;131010
176;182246;141075;182026;139886
177;173946;131624;175085;131480
178;221226;166456;220668;165788
179;187479;133425;189698;132335
180;175874;128322;177413;128280
181;195505;155748;196605;155145
182;190058;132429;195615;133575
183;212140;156548;219357;159914
184;172278;128119;174002;127383
185;221180;158857;221650;158240
186;233622;176435;240017;180790
187;234911;176808;234360;177273
188;199708;148308;199685;148381
189;204717;136404;196621;134013
190;201700;131047;192663;129904
191;201075;128032;191261;127906
192;214510;139919;205859;141461
193;225534;151129;224121;156367
194;245228;164803;238320;168091
195;182336;116989;170746;115990
196;231447;148939;218597;147040
197;207012;130502;196071;130631
198;242568;172799;240333;173536
199;195658;139346;195077;142594
200;196560;138790;198113;142888
201;178493;129502;175441;129262
202;190569;133191;187473;132299
203;168357;120001;166313;119298
204;192571;139027;193803;141134
205;213225;154343;211010;155100
206;251837;191097;256317;196076
207;202156;147381;201931;148928
208;217445;153455;217129;155005
209;220974;164052;220643;165435
210;235030;163350;232164;163010
211;184220;131065;180540;128753
212;214215;156149;216137;158661
213;166775;112507;167160;111846
214;185961;140360;192385;143626
215;212087;154723;216717;155881
216;244678;186845;251146;188417
217;250512;174765;254661;174710
218;220785;158045;225557;155942
219;231017;170334;236523;168795
220;211617;155666;215368;154146
221;231682;173138;239700;174322
222;242625;192148;247787;192033
223;226483;161912;231069;162958
224;242366;183059;245379;182283
225;205115;142584;206868;141456
226;249153;183832;252724;184167
227;154767;94922;155082;93941
228;246833;171065;251273;171644
229;186068;118249;186392;117391
230;162109;104487;163308;103874
231;173068;112708;173773;111537
232;214616;153659;215146;151021
233;243083;171002;248820;171954
234;216044;143939;216389;141364
235;172011;124026;170403;118903
236;177197;129049;179923;126869
237;164344;117290;164828;115659
238;162834;115851;160103;111378
239;180735;126096;174569;118838
240;173473;128501;172449;122307
241;243953;171989;243643;166555
242;177261;135845;179506;135186
243;249703;179941;253603;178211
244;189738;135154;193031;132674
245;184672;124786;185799;121814
246;224946;171076;226102;168765
247;183872;135005;184171;131310
248;219607;162052;217994;155355
249;199081;147482;197762;143137
250;200116;146050;200150;141275
251;225807;170031;226597;166593
252;206196;135957;208231;133378
253;240672;177024;244203;176239
254;189097;133619;189974;131055
255;235775;164678;237651;161614
256;221708;158857;224278;155635
257;242341;170224;244541;167668
258;184454;142504;191191;152546
259;181088;129259;183064;134355
260;244919;185176;247128;191149
261;165210;125558;166975;129700
262;204091;154949;205756;160053
263;180442;129901;179130;132632
264;220220;164521;221739;171509
265;206805;156053;209968;162815
266;224090;170674;226751;177134
267;241035;168927;241656;173772
268;223234;154351;224384;158389
269;176381;126601;175434;130255
270;224418;159936;222959;162969
271;201833;143521;205735;150050
272;208654;155522;209733;159992
273;208664;146160;207555;148159
274;211807;162920;215943;168177
275;198437;134143;198525;137796
276;215910;153296;213424;155585
277;195971;144215;197424;147782
278;194304;141401;195953;145107
279;220877;155907;219976;159491
280;198923;142812;197679;145151
281;210636;157681;219472;168260
282;225703;156692;229316;164341
283;213013;149482;215623;153869
284;204619;141835;205119;145259
285;200726;141391;199241;143449
286;167458;117355;166191;119181
287;197671;140167;202393;147557
288;177784;125418;177313;128808
289;198399;145797;199091;150014
290;189559;143896;193188;149768
291;218934;161713;220702;167199
292;162508;117289;163772;121718
293;167789;122655;171016;128696
294;181362;130128;185006;135877
295;185890;130436;184370;132905
296;207292;146713;204905;142400
297;214924;159639;211529;154287
298;184896;142795;181521;138097
299;201442;147047;198117;142644
