Wkr.-Nr.;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32
1;74802;74480;0;7068;5347;6150;0;0;1306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;56380;67786;0;5670;5907;4542;0;0;1213;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;56428;61471;0;4480;6024;4899;0;0;1471;0;0;0;0;2143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;68480;69082;0;6164;5607;5106;0;0;1454;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;761
5;75473;50437;0;9196;4509;6103;0;0;1313;0;0;0;0;1759;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;63207;57110;0;5166;4798;0;0;0;1800;0;0;0;0;2341;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;78236;80935;0;9118;6743;6142;0;0;1789;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;79520;81812;0;7522;7530;5971;0;0;1550;0;0;0;0;2548;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;61947;60608;0;3798;5402;4363;0;0;1201;0;0;0;0;1716;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;82387;83029;0;9499;8955;0;0;0;3078;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;64442;46254;0;5664;4493;5358;0;0;1322;0;0;0;0;2249;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;57998;44656;0;4322;7999;33509;0;0;5085;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;54180;35360;0;3466;5158;28167;0;0;4509;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1306
14;51623;35053;0;12917;5656;30578;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1179;0;0;0;0;0;0;0;0;0;0
15;35028;57131;0;2734;4078;32850;0;0;4787;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1692
16;36308;53000;0;3855;7946;34543;0;0;6865;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;50836;48653;0;4252;5820;34824;0;0;5261;0;0;740;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1072
18;40157;42316;0;3358;6183;36734;0;0;6437;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;87748;48762;0;20230;6407;10869;0;0;2433;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;715
20;61936;45468;0;15507;4444;6492;0;0;973;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;65610;49039;0;18249;5297;6366;0;0;1068;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;72148;65788;0;16177;6003;5602;0;0;1053;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;79926;57577;0;8237;5648;7542;0;0;2256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;79967;53810;0;7330;5105;7632;0;0;2352;0;0;460;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;82618;38467;0;8748;4441;5516;0;0;1660;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;360
26;69621;82559;0;6246;8246;5742;0;0;1920;0;0;979;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;72454;48472;0;5480;7187;6004;0;0;2413;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1623
28;73355;58364;0;16369;6341;7963;0;0;1595;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29;86321;59327;0;8209;8741;6856;0;0;2123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;861
30;71891;57968;0;4962;5438;4078;0;0;2372;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31;67942;64002;0;5918;6488;1551;0;0;2692;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32;61236;98882;0;5848;6167;4315;0;0;1287;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33;41988;101777;0;3723;6177;3018;0;0;1248;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34;68750;58684;0;8329;7454;5418;0;0;1735;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35;73003;52093;0;9774;7001;6281;0;0;2559;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36;58134;54385;0;5260;5507;4417;0;0;2173;0;0;518;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37;64462;66788;0;7065;6599;4904;0;0;1879;0;0;539;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
38;61468;49363;0;11557;5603;7124;0;0;1904;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
39;61900;71536;0;6884;6635;4274;0;0;1532;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40;67136;61467;0;9528;8038;4801;0;0;1120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41;80280;57237;0;5190;5374;4637;0;0;2363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;435
42;73195;44061;0;8333;5419;5565;0;0;1731;0;0;0;0;0;0;0;0;0;0;0;0;207;0;0;0;0;0;0;0;0;0;0
43;79249;44250;0;9943;4629;6305;0;0;1583;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44;92505;70840;0;6100;7931;5466;0;0;2501;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45;79449;70623;0;5275;6156;5477;0;0;2489;0;0;748;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46;87957;63355;0;5645;5354;5984;0;0;2192;0;0;1138;0;0;0;0;0;0;570;0;0;0;0;0;0;0;0;0;0;0;0;0
47;78435;54582;0;6815;7248;6737;0;0;2321;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
48;99465;69840;0;8000;6658;6429;0;0;2834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49;91383;66053;0;8630;4929;5481;0;0;2289;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;496;0;0
50;89068;60671;0;5718;4466;6896;0;0;2680;0;0;787;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51;74710;51257;0;6613;4414;6376;0;0;1579;0;0;0;0;0;0;0;0;0;0;0;0;233;0;0;0;0;0;0;0;0;0;0
52;71846;54172;0;5414;4718;5607;0;0;2782;0;0;675;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53;86432;62869;0;5145;6791;7359;0;0;2401;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
54;83493;63639;0;13854;6324;7624;0;0;2356;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;673;309
55;93663;54538;0;23445;7198;12701;0;0;2203;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;91154;41582;0;11702;6316;12957;0;0;3310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;681
57;47727;29092;0;6809;5522;31280;0;0;3517;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
58;48358;28104;0;2947;4174;34257;0;0;4237;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59;76005;47977;0;0;7567;39751;0;0;5797;0;0;0;0;4120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60;65841;38074;0;4817;7123;61604;444;0;6140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2176
61;59304;32329;0;4063;6029;37881;0;0;4261;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
62;72719;38140;0;8387;6180;46820;0;0;3173;0;0;0;0;2652;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
63;76660;43122;0;5426;7521;41949;0;0;5667;0;0;0;0;427;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
64;55335;31943;0;4332;6256;51895;0;0;5679;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;629
65;55110;32147;0;4111;8128;39877;0;0;5116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1939
66;50985;37826;0;3670;8223;37797;0;0;7802;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
67;44012;41197;0;2975;4515;36157;563;0;2977;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
68;64381;47925;0;3950;9003;39398;805;0;4715;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;386
69;58478;45977;0;6469;9185;44872;109;0;4979;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;125
70;69879;42609;0;5635;6991;45407;432;0;3179;0;0;0;0;0;0;0;0;0;0;0;0;873;0;0;0;0;0;0;0;0;0;238
71;49423;45006;0;4220;6665;34161;1480;0;3515;0;0;0;0;0;0;0;0;0;0;0;0;667;0;0;0;0;0;0;0;0;0;744
72;63003;48674;0;3771;9071;42190;568;0;5375;0;0;0;0;0;0;0;0;0;0;0;0;878;0;0;0;0;0;0;0;0;0;1815
73;56529;40958;0;5405;8532;42260;45;0;2963;0;0;0;0;0;0;0;0;0;0;0;0;1165;0;0;0;0;0;0;0;0;0;1497
74;47943;44756;0;3253;8584;39820;6;0;7067;0;0;482;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
75;54925;47216;0;3434;9419;45003;949;0;5554;0;0;0;0;0;0;0;0;0;0;0;0;114;0;0;0;0;0;0;0;0;0;205
76;58445;32321;0;19375;5188;19271;0;1331;1757;0;0;0;0;0;1010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;663
77;70730;26407;0;21946;5241;41864;0;0;3821;0;0;0;0;0;823;0;0;0;0;803;0;0;0;0;0;0;0;486;0;0;0;0
78;61133;54262;0;7821;7841;6883;0;1516;1805;0;0;0;0;0;567;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;663;1262
79;64119;48791;0;6347;5562;7608;0;1515;1733;0;0;0;0;0;1349;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
80;68537;70874;0;17724;9358;6849;0;0;1696;0;0;0;0;0;962;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1166;0
81;68625;52408;0;17273;8591;7042;0;0;1298;0;0;0;0;0;857;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
82;62125;59787;0;38198;7396;8538;0;0;2202;0;0;0;1327;0;330;0;0;0;0;0;0;0;995;0;0;0;0;0;0;0;1015;0
83;55264;51444;0;13381;5076;9375;0;0;2832;0;0;0;0;0;0;0;0;0;0;490;0;296;1480;0;0;0;0;0;0;0;0;961
84;33562;18300;0;69988;4328;29145;0;0;2466;0;0;0;0;0;329;0;0;0;0;699;0;0;1363;0;0;0;0;268;0;0;0;1356
85;49807;24823;0;6051;3532;60470;0;0;3788;0;0;0;0;0;1333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
86;42132;23459;0;5372;4356;61845;0;0;5428;0;0;0;0;0;1326;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1146
87;47112;20138;0;6373;4002;62824;0;0;4682;0;0;0;0;0;1434;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
88;55086;53170;0;12462;7476;6655;0;0;1034;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
89;79617;68563;0;6205;7308;9139;0;0;2302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
90;52148;71887;0;0;7345;6512;0;0;1932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
91;64858;68166;0;4476;5628;6504;0;0;1776;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
92;90150;74380;0;5797;9168;7041;0;0;1956;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
93;73415;86515;0;6774;10419;7349;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;650
94;66317;46224;0;9992;5516;6717;0;0;1286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;404
95;75703;59855;0;17238;13225;6079;0;0;887;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
96;71575;43054;0;13196;5569;6809;0;0;1233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;289;0;0;0;0
97;71537;67381;0;10505;14841;5125;0;0;1032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
98;73513;80894;0;7311;7780;5615;0;0;1580;0;0;0;0;0;0;0;0;999;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99;59838;87736;0;7708;8063;4492;0;0;1130;0;0;0;0;0;0;0;0;474;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100;62195;79789;0;6129;6743;5736;0;0;1509;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;351
101;65495;86290;0;8735;7881;5358;0;0;1415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
102;78235;57271;0;8425;6248;7050;0;0;1689;0;0;0;0;0;0;0;0;0;0;0;0;280;0;0;0;0;0;355;0;0;0;0
103;78426;58192;0;7720;7008;9454;0;0;2106;0;0;0;0;0;0;0;0;0;0;0;0;0;943;0;0;0;0;0;0;0;0;0
104;76358;72385;0;7600;9506;8336;0;0;1963;0;0;0;0;0;0;0;0;0;0;0;0;375;0;0;0;0;0;0;0;0;0;0
105;64699;77187;0;7034;6879;5753;0;0;1520;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
106;58157;55728;0;5188;7120;6321;0;0;1246;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
107;68314;74976;0;8624;8763;6239;0;0;1129;0;0;0;0;0;0;0;0;0;0;0;0;188;0;0;0;0;0;0;0;0;0;0
108;66555;55982;0;7483;6324;7070;0;0;1215;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;257;0;0;0;0
109;65603;77781;0;5111;5994;5464;0;0;1673;0;0;0;0;0;0;0;1297;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
110;54170;66715;0;5308;5711;5870;0;0;1550;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
111;61414;75258;0;6994;8050;5569;0;0;1202;0;0;0;0;0;0;0;0;0;0;0;0;0;442;0;0;0;0;0;0;0;0;0
112;64985;84058;0;8065;9520;6568;0;0;1598;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
113;63567;85994;0;6310;8460;5207;0;0;1427;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
114;79615;63622;0;5884;5716;6301;0;0;1344;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
115;71413;51285;0;5168;6006;5564;0;0;1291;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
116;80328;41821;0;5884;3951;8936;0;0;1571;0;0;0;0;1310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
117;70299;28066;0;2942;2625;7621;0;0;2246;0;0;0;0;0;0;0;0;0;0;0;0;371;0;0;0;0;0;0;0;0;0;0
118;95580;43411;0;9668;4344;9108;0;0;1905;0;0;0;0;0;0;0;0;0;0;0;0;274;0;0;0;0;0;0;0;0;0;0
119;81810;51021;0;6385;5149;7918;0;0;1326;0;0;0;0;1477;0;0;0;0;0;0;0;377;0;0;0;0;0;0;0;0;0;0
120;72664;34099;0;4186;3692;7603;0;0;1862;0;0;0;0;0;0;0;0;0;0;0;0;328;0;0;0;0;0;0;0;0;0;0
121;77708;60530;0;8987;5365;7373;0;0;1209;0;0;0;0;0;0;0;0;0;0;0;0;0;460;0;0;0;0;0;0;0;0;0
122;74750;41620;0;4094;4859;7285;0;0;1612;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
123;83905;49192;0;5608;4654;7397;0;0;1627;0;0;0;0;0;0;0;0;0;0;0;0;275;0;0;0;0;0;0;0;0;0;0
124;83649;37012;0;3733;3467;9496;0;0;2206;0;0;0;0;0;0;0;0;0;0;0;0;616;0;0;0;0;0;0;0;0;0;0
125;58301;78554;0;5028;5752;4424;0;0;1075;0;0;388;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126;91918;51512;0;4245;4168;8348;0;0;1678;1801;0;0;0;0;0;0;0;0;0;0;0;214;0;0;0;0;0;0;0;0;0;110
127;50880;87251;0;6070;6232;4386;0;0;785;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128;55269;78626;0;6224;6988;4387;0;0;919;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
129;70456;64892;0;4760;5814;4588;0;0;1128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130;70175;69638;0;14169;8666;4381;0;0;690;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;472
131;63717;84140;0;6619;6324;5301;0;0;1329;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
132;69739;87555;0;7422;8125;6365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133;92287;73853;0;12742;5253;8281;0;0;1563;0;0;860;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;505
134;85908;74103;0;5319;6476;6894;0;0;1991;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
135;76641;65858;0;4071;5845;5774;0;0;1666;0;0;0;0;1497;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
136;66665;53607;0;4990;6165;4800;0;0;1331;0;0;1318;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
137;63922;83914;0;6066;6648;5403;0;0;1612;0;0;879;0;2107;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
138;57815;101231;0;7278;8137;5944;0;0;1695;0;0;0;0;2254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
139;87664;58191;0;4757;5944;6837;0;0;2129;1988;0;0;0;0;0;0;0;0;0;0;0;188;0;0;0;0;0;0;0;0;0;0
140;76854;45344;0;7166;7502;6506;0;0;1338;1858;0;0;0;0;0;0;0;0;0;0;0;220;0;0;0;0;0;0;0;0;0;0
141;94985;51120;0;8786;4071;9497;0;0;1883;0;0;0;0;0;0;0;0;0;0;0;0;316;0;0;0;0;0;0;0;0;0;0
142;85964;37096;0;5058;3487;9738;0;1558;1503;0;0;0;0;0;0;0;0;0;0;0;0;268;0;0;0;0;0;0;0;0;0;0
143;88227;45968;0;8020;4728;7616;0;0;1520;0;0;0;0;0;0;0;0;0;0;0;0;335;0;0;0;0;0;0;0;0;0;312
144;88135;44293;0;6088;3907;8271;0;0;1622;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
145;88471;51073;0;7934;4957;7076;0;0;1940;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
146;100141;59652;0;4195;8038;7690;0;0;2026;0;0;0;0;0;0;0;0;0;0;0;0;0;366;0;0;0;0;0;0;0;0;0
147;73123;82445;0;5946;8518;6536;0;0;1534;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
148;56141;94975;0;3341;4006;4802;0;0;1245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
149;73703;70260;0;6097;8240;6415;0;1462;1328;1694;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
150;61628;83289;0;4665;6322;6198;0;0;1823;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
